Column,Value
BuildingName,WING SING COMMERCIAL CENTRE
BuildingName,KAILEY TOWER
BuildingName,WING CHEUNG BUILDING
BuildingName,TAI PING MANSION
BuildingName,MANIFOLD COURT
BuildingName,THE CENTER
BuildingName,EUBANK PLAZA
BuildingName,SHELLEY COURT
BuildingName,CHI PING BUILDING
BuildingName,EMPEROR HOLLYWOOD CENTRE
BuildingName,CHONG YUET MING CHEMISTRY BLDG & CHONG YUET MING PHYSICS BLDG
BuildingName,WELLINGTON PLACE
BuildingName,LEE KUM KEE CENTRAL
BuildingName,99 BONHAM
BuildingName,GD REAL ESTATE TOWER
BuildingName,GOOD VIEW COURT
BuildingName,PROSPEROUS HEIGHT
BuildingName,TUNG CHAI BUILDING
BuildingName,WING YEE COMMERCIAL BUILDING
BuildingName,SACRED HEART CANOSSIAN SCHOOL PRIVATE SECTION
BuildingName,SACRED HEART CANOSSIAN SCHOOL
BuildingName,KENBO COMMERCIAL BUILDING
BuildingName,FELICITY BUILDING
BuildingName,FAIRVIEW COURT
BuildingName,BABINGTON HILL
BuildingName,CENTRAL BUILDING SHOPPING ARCADE
BuildingName,KAM NING MANSION
BuildingName,GENERAL BUILDING
BuildingName,GOODWILL GARDEN
BuildingName,FEDERATE BUILDING
BuildingName,LEE FUNG BUILDING
BuildingName,WING TUCK COMMERCIAL CENTRE
BuildingName,LAM'S BUILDING
BuildingName,LUCKY BUILDING
BuildingName,SUN YAT SEN MEMORIAL PARK SPORTS CENTRE
BuildingName,MENG WAH COMPLEX
BuildingName,CHATER HOUSE
BuildingName,WESTERN WHOLESALE FOOD MARKET
BuildingName,BUXEY LODGE
BuildingName,TALON TOWER
BuildingName,TSAN YUK HOSPITAL
BuildingName,GOODVIEW COURT
BuildingName,WINWAY BUILDING
BuildingName,CHONG YUET MING AMENITIES CENTRE
BuildingName,TIMLEY COURT
BuildingName,FUNG KING COURT
BuildingName,KAISER CENTRE
BuildingName,THE PUTMAN
BuildingName,PEACH BLOSSOM
BuildingName,THE STRAND
BuildingName,THE PLAZA
BuildingName,CHUN KING COURT
BuildingName,MILLENNIUM COURT
BuildingName,HONG KONG Y.W.C.A HEADQUARTERS
BuildingName,INTERNATIONAL FINANCE CENTRE MALL
BuildingName,UNIVERSAL TRADE CENTRE
BuildingName,GRANDVIEW COMMERCIAL CENTRE
BuildingName,SANDS HSE
BuildingName,SEA VIEW MANSION
BuildingName,SUN SHING MANSION
BuildingName,HUNG TAK BUILDING
BuildingName,SOHO 189
BuildingName,TUNG TZE TERRACE
BuildingName,ST. JOHN'S COLLEGE
BuildingName,SAI YING PUN JOCKEY CLUB POLYCLINIC
BuildingName,MING HING HSE
BuildingName,IVY TOWER
BuildingName,KAM LUN MANSION
BuildingName,BONANZA COURT
BuildingName,KAI WAH BUILDING
BuildingName,ROC YE COURT
BuildingName,CENTRAL PIER 4
BuildingName,WESTVIEW HEIGHT
BuildingName,WING TO BUILDING
BuildingName,WING LOK MANSION
BuildingName,GUILDFORD GARDEN
BuildingName,THE SOHO
BuildingName,TRUE LIGHT BUILDING
BuildingName,HUNG KEI MANSION
BuildingName,CHUNG SHEUNG ART BUILDING
BuildingName,WING HONG MANSION
BuildingName,HON BONG BUILDING
BuildingName,LUEN WAI APARTMENTS
BuildingName,BRITISH CONSULATE-GENERAL & BRITISH COUNCIL
BuildingName,WAH FAI COURT
BuildingName,WAI YUEN BUILDING
BuildingName,WONG CHUNG MING COMMERCIAL HSE
BuildingName,BANK OF CHINA TOWER
BuildingName,CHEUNG LING MANSION
BuildingName,FUNG SHING BUILDING
BuildingName,HONG KONG PLAZA
BuildingName,CAROL MANSION
BuildingName,SOHOTEL
BuildingName,PARKCREST
BuildingName,HONGKONG ELECTRIC CENTRE
BuildingName,T.T.TSUI BUILDING
BuildingName,JOCKEY CLUB STUDENT VILLAGE I LADY HO TUNG HALL STARR HALL & HO TIM HALL
BuildingName,WING KWAI HOUSE
BuildingName,SHUN SING MANSION
BuildingName,PROSPEROUS BUILDING
BuildingName,THE VOEUX
BuildingName,LI PO CHUN CHAMBERS
BuildingName,PO TAK BUILDING
BuildingName,EVERPROFIT COMMERCIAL BUILDING
BuildingName,TIN ON SING COMMERCIAL BUILDING
BuildingName,TAI TAK MANSION
BuildingName,MAN KWONG COURT
BuildingName,BARKER VILLA
BuildingName,SHIU KING COURT
BuildingName,TIM PO COURT
BuildingName,COMFORT COURT
BuildingName,LIM KAI BIT YIP
BuildingName,CHEUNG FAT BUILDING
BuildingName,HANG YUE BUILDING
BuildingName,NEW START BUILDING
BuildingName,WAI YUE BUILDING
BuildingName,BORITA BUILDING
BuildingName,SHUM TOWER
BuildingName,WHEELOCK HSE
BuildingName,MERRY COURT
BuildingName,PEARL GARDENS
BuildingName,NO.1 GARDEN TERRACE
BuildingName,GLENEALY SCHOOL
BuildingName,YUEN FAI COURT
BuildingName,BO KWONG APARTMENTS
