Column,Value
EstateName,LA PLACE DE VICTORIA
EstateName,THE TANNER HILL
EstateName,GOLD MINE BUILDING
EstateName,KAI TSUI COURT
EstateName,GRAND GARDEN
EstateName,FUNG WAH ESTATE
EstateName,KORNVILLE
EstateName,TSUI LOK ESTATE
EstateName,SKY HORIZON
EstateName,CHAI WAN ESTATE
EstateName,ISLAND GARDEN
EstateName,LIME GALA
EstateName,WAH HA ESTATE
EstateName,VICTORIA HARBOUR
EstateName,KODAK HOUSE (HOUSE I & HOUSE II)
EstateName,NORTH POINT METHODIST CHURCH
EstateName,FA PENG KNOLL
EstateName,COASTAL SKYLINE
EstateName,SHA LO WAN TSUEN
EstateName,HONG KONG INTERNATIONAL AIRPORT
EstateName,CRESTMONT VILLA
EstateName,SEA VIEW VILLAS
EstateName,SIU HO WAN GOVERNMENT MAINTENANCE DEPOT
EstateName,BUTTERFLY CREST
EstateName,HOI FUK VILLA
EstateName,TINFORD GARDEN
EstateName,PENG LAI COURT
EstateName,LA VISTA
EstateName,SAN SHEK WAN
EstateName,BUDDHIST WAI YAN MEMORIAL COLLEGE
EstateName,TUNG CHUNG CRESCENT
EstateName,BELLEVUE GARDEN
EstateName,LING LIANG CHURCH E WUN SECONDARY SCHOOL
EstateName,SILVERMINE BAY TELEPHONE EXCHANGE
EstateName,KAM SAU GARDEN
EstateName,MIAMI GARDEN
EstateName,TONG FUK
EstateName,HAM TIN SAN TSUEN
EstateName,CHEUNG SHA VILLA
EstateName,THE SALVATION ARMY BRADBURY CAMP
EstateName,YMCA OF HONG KONG CHRISTIAN COLLEGE
EstateName,KAM KONG KINDERGARTEN
EstateName,BEACH VIEW
EstateName,SWISS GARDEN
EstateName,WATER GARDEN
EstateName,LING LIANG CHURCH SAU TAK PRIMARY SCHOOL
EstateName,CHEUNG CHAU SPORTS CENTRE
EstateName,YUNG SHUE LONG NEW VILLAGE
EstateName,LANTAU INTERNATIONAL SCHOOL
EstateName,CHEUNG FU VILLA
EstateName,TAI TEI TONG
EstateName,MA PO TSUEN
EstateName,TAK LOY COURT
EstateName,THE CHURCH OF CHRIST IN CHINA TAI O SCHOOL
EstateName,WAN HO KAN CARE & ATTENTION HOME
EstateName,CARIBBEAN COAST
EstateName,WANG HANG VILLAGE
EstateName,LUNG TSAI TSUEN
EstateName,SEAVIEW CRESCENT
EstateName,BAHAMA GARDEN
EstateName,PUI O RAW WATER PUMPING STATION
EstateName,SHAU SHAN TERRACE
EstateName,TAI O FIRE STATION
EstateName,NAM BIN WAI
EstateName,KO SHAN TSUEN
EstateName,CHEUNG CHAU BAPTIST CHURCH
EstateName,DISCOVERY BAY
EstateName,CHEUNG SHA HA TSUEN
EstateName,W.S.D. CHEUNG SHA QTR
EstateName,TAI KWAI WAN SAN TSUEN
EstateName,HUNG SHING YE
EstateName,TAI O JOCKEY CLUB CLINIC
EstateName,PENIEL CHURCH
EstateName,LAMMA ISLAND POLICE POST
EstateName,NORTH LANTAU HOSPITAL
EstateName,NAUTILUS VILLA
EstateName,MT. LA VIE
EstateName,CIVIL AVIATION DEPARTMENT HEADQUARTERS
EstateName,TAT YUEN
EstateName,CHEUNG CHAU CEMETERY
EstateName,LUK TEI TONG
EstateName,TUNG CHUNG MUNICIPAL SERVICES BUILDING
EstateName,HA LING PEI
EstateName,SHEUNG LING PEI
EstateName,KAM SHAN TERRACE
EstateName,POGGIBONSI
EstateName,TUNG WAN VILLA
EstateName,SALESIAN RETREAT HOUSE
EstateName,TUNG CHUNG NORTH PARK
EstateName,YAN CHAK YUEN
EstateName,NGAN HO COURT
EstateName,SEAVIEW TERRACE
EstateName,YEE YUEN
EstateName,W.S.D. QUARTER
EstateName,PENG CHAU GOVERNMENT BUILDING
EstateName,NIM PO TSUEN
EstateName,WANG TONG
EstateName,BETHANY COTTAGE AND BETHANY HOUSE
EstateName,POSITANO
EstateName,CHEUNG CHAU GOVERNMENT SECONDARY SCHOOL
EstateName,PUI O SAN WAI TSUEN
EstateName,LONG TSAI TSUEN
EstateName,TIN LEE COURT
EstateName,MUN TUNG ESTATE
EstateName,TONG FUK CORRECTIONAL INSTITUTION
EstateName,SAN TSUEN
EstateName,TUNG CHUNG FIRE STATION-CUM-AMBULANCE DEPOT
EstateName,AMALFI
EstateName,LA SERENE
EstateName,LONG BREEZE
EstateName,LONG GREEN
EstateName,TREASURE VILLA
EstateName,CHEK LAP KOK SOUTH FIRE STATION
EstateName,WAI TSAI SHAN TING  SAN TSUEN
EstateName,ARTEMIS
EstateName,THE CHURCH OF CHRIST IN CHINA CHEUNG CHAU CHURCH KAM KONG PRIMARY SCHOOL
EstateName,PEGASUS VILLA
EstateName,ILPICCO
EstateName,SHA TSUI CORRECTIONAL INSTITUTION
EstateName,CHEUNG KWAI ESTATE
EstateName,THE ARCANA
EstateName,YU NGA COURT
EstateName,LANTAU VEHICLE SERVICING DEPOT E & M SERVICES DEPT
EstateName,SAN TAU
EstateName,LO SO SHING
EstateName,TAI LONG
EstateName,SILVERVIEW CENTRE
EstateName,LUNG TIN ESTATE
EstateName,TUNG LOI COURT
EstateName,HERALD COURT
EstateName,HORIZON VILLA
EstateName,SEA VIEW HOUSES
EstateName,NGAN WAN ESTATE
EstateName,FORTUNE VILLA
EstateName,CHEUNG CHAU PEAK VILLA
EstateName,PEAKVILLE
EstateName,CITYGATE
EstateName,MUI WO CENTRE
EstateName,YAT TUNG (2) ESTATE
EstateName,YAT TUNG ESTATE
EstateName,CATHAY PACIFIC CITY
EstateName,VILLAS DES ROSES
EstateName,SEA CREST VILLA
EstateName,LUNG HIN COURT
EstateName,GREENERY CREST
EstateName,YU TUNG COURT
EstateName,FU TUNG ESTATE
EstateName,NGA NING COURT
EstateName,SCENIC CREST
EstateName,PACIFIC GARDEN
EstateName,STEPHANIE COURT
EstateName,SEA CREST TERRACE
EstateName,SHING YIP INDUSTRIAL BUILDING
EstateName,YAT TUNG (1) ESTATE
EstateName,KAM PENG ESTATE
EstateName,SEASCAPE PENINSULA
EstateName,HO LAN VILLA
EstateName,JADE VIEW VILLAS
EstateName,OLIVE PARK VILLA
EstateName,RIVERWALK
EstateName,THE VISIONARY
EstateName,CENTURY LINK
EstateName,CENTURY LINK II
EstateName,YU TAI COURT
EstateName,YING TUNG ESTATE
EstateName,TREASURE COVE I
EstateName,MICHELIA
EstateName,LEYBURN VILLAS
EstateName,ACACIA VILLA
EstateName,PALOMA COVE
EstateName,WHITESANDS
EstateName,PALOMA BAY
EstateName,CHEUNG SHA VILLAS
EstateName,NEW VILLA CECIL
EstateName,EMERALD VILLA
EstateName,GOLDEN COAST
EstateName,REGENT VILLA
EstateName,HOSPITAL AUTHORITY SUPPORTING SERVICES CENTRE
EstateName,18A LA SALLE ROAD
EstateName,ARGYLE STREET JOCKEY CLUB SCHOOL DENTAL CLINIC
EstateName,PRINCE'S HEIGHTS (STAGE I)
EstateName,PRINCE'S HEIGHTS (STAGE II)
EstateName,KAI TAK SUBSTATION
EstateName,MAN KAY MANSION
EstateName,CCC KEI WA PRIMARY SCHOOL (KOWLOON TONG)
EstateName,MOONBEAM TERRACE
EstateName,KIU WANG MANSION
EstateName,CREATIVE PRIMARY SCHOOL
EstateName,PEACE GARDEN
EstateName,NAIRN HOUSE
EstateName,LEE KEE MEMORIAL DISPENSARY
EstateName,PALACE GARDEN
EstateName,MARPLE COURT
EstateName,PAK TAI MANSION
EstateName,TRAFFIC KOWLOON WEST OPERATION BASE
EstateName,POLICE INSPECTORATE QUARTERS
EstateName,BIBLE SEMINARY OF HONG KONG
EstateName,THE CRESCENT
EstateName,HO MAN TIN AMBULANCE DEPOT
EstateName,OXFORD GARDEN
EstateName,EVERWELL GARDEN
EstateName,THINK INTERNATIONAL KINDERGARTEN NURSERY
EstateName,HONG KONG CHEIL CHURCH
EstateName,ST. MARY'S CHURCH
EstateName,SHENG KUNG HUI TSOI KUNG PO SECONDARY SCHOOL
EstateName,MA TAU CHUNG GOVERNMENT PRIMARY SCHOOL (HUNG HOM BAY)
EstateName,WHAMPOA GARDEN
EstateName,MA TAU CHUNG AMBULANCE DEPOT
EstateName,KOWLOON TONG CLUB
EstateName,SHEFFIELD GARDEN
EstateName,HO MAN TIN ESTATE
EstateName,HO MAN TIN PARK
EstateName,ST. TERESA'S CHURCH
EstateName,CHINESE CHRISTIAN CHURCH
EstateName,COLLEGE CREST
EstateName,LA SALLE COLLEGE
EstateName,HUNG HOM FIRE STATION
EstateName,CIVIL ENGINEERING AND DEVELOPMENT BUILDING
EstateName,MA TAU CHUNG FIRE STATION
EstateName,KOWLOON CITY POLICE STATION
EstateName,SHUN TAK FRATERNAL ASSOCIATION SEAWARD WOO COLLEGE
EstateName,GREEN ISLAND CEMENT SUBSTATION
EstateName,YU CHUN KEUNG MEMORIAL COLLEGE
EstateName,KWUN HEI COURT
EstateName,WHAMPOA BUILDING
EstateName,WATER SUPPLIES DEPARTMENT MECHANICAL AND ELECTRICAL WORKSHOP
EstateName,LA SALLE PRIMARY SCHOOL
EstateName,KOWLOON EAST BARRACKS
EstateName,TO KWA WAN MARKET AND GOVERNMENT OFFICES
EstateName,CHINA GRADUATE SCHOOL OF THEOLOGY
EstateName,KOWLOON HOSPITAL
EstateName,FAIRLAND GARDENS
EstateName,INVERNESS VILLA
EstateName,HOTEL 23
EstateName,APB CENTRE
EstateName,KOWLOON TONG SCHOOL
EstateName,KOWLOON TONG GOVERNMENT PRIMARY SCHOOL
EstateName,THE ARCADIA
EstateName,FESSENDEN COURT
EstateName,ELIZABETHAN COURT
EstateName,EDE TERRACE
EstateName,MAN WAH HEIGHTS
EstateName,HOLY FAMILY CANOSSIAN SCHOOL (KOWLOON TONG)
EstateName,TO KWA WAN SUBSTATION
EstateName,GLORIOUS COURT
EstateName,MUNSANG COLLEGE
EstateName,KING GEORGE V SCHOOL
EstateName,WELCOME GARDENS
EstateName,MERLIN COURT
EstateName,GARFIELD COURT
EstateName,IU SHAN SCHOOL
EstateName,HONG KONG BAPTIST HOSPITAL
EstateName,YING CHOI VOCATIONAL SKILLS TRAINING CENTRE
EstateName,CROWFIELDS COURT
EstateName,CHATHAM GATE
EstateName,LOK MAN SUN CHUEN
EstateName,THE HOMESTEAD
EstateName,CAMBRIDGE COURT
EstateName,PUI CHING MIDDLE SCHOOL
EstateName,TANG KING PO SCHOOL
EstateName,KINGSLAND VILLA
EstateName,SUNDERLAND ESTATE
EstateName,KWUN FAI COURT
EstateName,TO KWA WAN RECREATION GROUND
EstateName,KIDS' GALLERY
EstateName,ARTS & TECHNOLOGY EDUCATION CENTRE
EstateName,MANTIN HEIGHTS
EstateName,LOONG KING MANSION
EstateName,HARBOUR PLACE
EstateName,NEW ASIA MIDDLE SCHOOL
EstateName,FARM ROAD GOVERNMENT PRIMARY SCHOOL
EstateName,28 LA SALLE ROAD
EstateName,LOUISE GARDEN
EstateName,MA TAU CHUNG GOVERNMENT PRIMARY SCHOOL
EstateName,THE ASTORIA
EstateName,MA TAU WAI ESTATE
EstateName,FOOK YEE GARDEN
